entity_id,entity_name,plant_id,plant_name,sector,nameplate_capacity,summer_capacity,winter_capacity,latitude,longitude,survey_month,survey_year
63289.0,Key Capture Energy,65699.0,TX19 River Valley Storage 1,IPP Non-CHP,50.0,50.0,50.0,30.41477,-97.35701,11,2024
63289.0,Key Capture Energy,65700.0,TX21 River Valley Storage 2,IPP Non-CHP,50.0,50.0,50.0,30.41432,-97.35518,11,2024
63289.0,Key Capture Energy,65701.0,TX23 Roughneck Storage,IPP Non-CHP,50.0,50.0,50.0,29.15923,-95.6626,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65809.0,Caterina,IPP Non-CHP,9.9,9.9,9.9,28.34705,-99.6737,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65810.0,Cedarville (TX),IPP Non-CHP,9.9,9.9,9.9,31.514106,-103.4524,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65811.0,Coyote Springs (TX),IPP Non-CHP,9.9,9.9,9.9,31.39471,-103.6303,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65812.0,Farmersville (TX),IPP Non-CHP,9.9,9.9,9.9,33.16111,-96.40913,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65813.0,Faulkner,IPP Non-CHP,9.9,9.9,9.9,31.262381,-103.7949,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65814.0,Gomez,IPP Non-CHP,9.9,9.9,9.9,31.036537,-103.0242,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65829.0,Holcomb (TX),IPP Non-CHP,9.9,9.9,9.9,28.03534,-99.36173,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65830.0,Junction (TX),IPP Non-CHP,9.9,9.9,9.9,30.492453,-99.7702,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65831.0,Lonestar,IPP Non-CHP,9.9,9.9,9.9,31.594864,-103.2498,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65832.0,Olney,IPP Non-CHP,9.9,9.9,9.9,33.371086,-98.72047,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65833.0,Rattlesnake (TX),IPP Non-CHP,9.9,9.9,9.9,31.568978,-103.2266,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65834.0,Saddleback,IPP Non-CHP,9.9,9.9,9.9,31.332883,-103.4984,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65835.0,Screwbean,IPP Non-CHP,9.9,9.9,9.9,31.821423,-104.0451,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65836.0,Toyah Power Station,IPP Non-CHP,10.4,9.9,9.9,31.113909,-103.6655,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65837.0,Val Verde,IPP Non-CHP,9.9,9.9,9.9,26.234145,-98.07985,11,2024
65076.0,"HEN Infrastructure, L.L.C.",65838.0,Hoef's Road Storage,IPP Non-CHP,2.0,2.0,2.0,31.031247,-103.4626,11,2024
65181.0,House Mountain,66006.0,House Mountain,IPP Non-CHP,73.2,63.0,63.0,30.495668,-103.451,11,2024
65182.0,Flower Valley II,66007.0,Flower Valley II,IPP Non-CHP,101.0,101.0,101.0,31.197285,-103.3618,11,2024
65183.0,Swoose II,66008.0,Swoose II,IPP Non-CHP,101.0,101.0,101.0,31.45115,-103.3618,11,2024
65184.0,Crossett Power Management LLC,66009.0,Crossett Power Management LLC,IPP Non-CHP,203.0,203.0,203.0,31.191687,-102.3172,11,2024
61060.0,Cypress Creek Renewables,66137.0,Zier Solar,IPP Non-CHP,40.4,40.4,40.4,29.350992,-100.562,11,2024
65313.0,"Crane 2 BESS, LLC",66170.0,Revolution,IPP Non-CHP,150.0,150.0,150.0,31.233457,-102.3085,11,2024
65426.0,St. Gall Energy Storage I,66336.0,St. Gall Energy Storage I,IPP Non-CHP,102.6,100.0,100.0,30.924381,-102.9536,11,2024
65428.0,Callisto I Energy Center,66338.0,Callisto I Energy Center,IPP Non-CHP,223.4,200.0,200.0,29.646811,-95.45054,11,2024
65502.0,"Five Wells Solar Center, LLC",66420.0,Five Wells Solar Center - Hybrid,IPP Non-CHP,262.5,259.0,259.0,30.998647,-97.25902,11,2024
65642.0,Wolf Tank Storage LLC,66616.0,Wolf Tank Storage,IPP Non-CHP,150.0,150.0,150.0,27.577207,-99.27602,11,2024
65696.0,"Brazos Bend BESS, LLC",66690.0,"Brazos Bend BESS, LLC",IPP Non-CHP,100.0,100.0,100.0,29.56318,-95.80023,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66782.0,Hamilton BESS,IPP Non-CHP,9.9,9.9,9.9,29.376438,-100.8485,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66783.0,Weil Tract BESS,IPP Non-CHP,9.9,9.9,9.9,27.796921,-97.48707,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66784.0,Pauline BESS,IPP Non-CHP,9.9,9.9,9.9,32.335025,-96.0579,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66788.0,Mineral Wells East BESS,IPP Non-CHP,9.9,9.9,9.9,32.798754,-98.06497,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66789.0,Lufkin South BESS,IPP Non-CHP,9.9,9.9,9.9,31.291983,-94.72424,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66790.0,Judkins BESS,IPP Non-CHP,9.9,9.9,9.9,31.715592,-102.5981,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66791.0,Garden City East BESS,IPP Non-CHP,9.9,9.9,9.9,31.867209,-101.4694,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66792.0,Falfurrias BESS,IPP Non-CHP,9.9,9.9,9.9,27.242427,-98.14055,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66794.0,Diboll BESS,IPP Non-CHP,9.9,9.9,9.9,31.193794,-94.79818,11,2024
65076.0,"HEN Infrastructure, L.L.C.",66795.0,CISCO BESS,IPP Non-CHP,9.9,9.9,9.9,32.391533,-98.97816,11,2024
65774.0,"Fence Post Solar Project, LLC",66801.0,"Fence Post Solar Hybrid Project, LLC",IPP Non-CHP,72.0,72.0,72.0,32.072844,-96.22393,11,2024
65765.0,Borden County Battery Energy Storage System LLC,66804.0,Borden County BESS,IPP Non-CHP,150.0,150.0,150.0,32.72233,-101.6385,11,2024
65838.0,SMT Mercedes LLC,66926.0,SMT Mercedes LLC,IPP Non-CHP,10.0,10.0,10.0,26.230501,-97.91256,11,2024
65839.0,SMT Mission LLC,66927.0,SMT Mission LLC,IPP Non-CHP,10.0,10.0,10.0,26.189433,-98.32293,11,2024
65844.0,SMT Santa Rosa LLC,66928.0,SMT Santa Rosa LLC,IPP Non-CHP,10.0,10.0,10.0,26.232466,-97.82317,11,2024
65843.0,SMT Alamo LLC,66929.0,SMT Alamo LLC,IPP Non-CHP,10.0,10.0,10.0,26.230677,-98.11404,11,2024
65842.0,SMT Bay City LLC,66930.0,SMT Bay City LLC,IPP Non-CHP,10.0,10.0,10.0,28.987572,-95.96984,11,2024
65841.0,SMT Elsa LLC,66931.0,SMT Elsa LLC,IPP Non-CHP,10.0,10.0,10.0,26.296101,-98.0096,11,2024
65840.0,SMT Los Fresnos LLC,66932.0,SMT Los Fresnos LLC,IPP Non-CHP,10.0,10.0,10.0,26.074676,-97.52318,11,2024
65847.0,SMT Harlingen II LLC,66933.0,SMT Harlingen II LLC,IPP Non-CHP,10.0,10.0,10.0,26.179999,-97.72561,11,2024
65845.0,SMT Rio Grande I LLC,66934.0,SMT Rio Grande I LLC,IPP Non-CHP,10.0,10.0,10.0,26.408729,-98.93743,11,2024
65846.0,SMT Rio Grande II LLC,66935.0,SMT Rio Grande II LLC,IPP Non-CHP,10.0,10.0,10.0,26.390951,-98.82039,11,2024
62759.0,National Grid Renewables,67019.0,"Copperhead Solar, LLC",IPP Non-CHP,100.0,100.0,100.0,31.45,-96.86,11,2024
65984.0,"Longbow BESS, LLC",67083.0,"Longbow BESS, LLC",IPP Non-CHP,174.0,174.0,174.0,29.281605,-95.29553,11,2024
66057.0,"Rodeo Ranch Energy Storage, LLC",67175.0,Rodeo Ranch Energy Storage,IPP Non-CHP,300.0,300.0,300.0,31.36,-103.33,11,2024
66110.0,"Anemoi Energy Storage, LLC",67236.0,Anemoi Energy Storage,IPP Non-CHP,200.0,200.0,200.0,26.45,-98.48,11,2024
66111.0,"Ebony Energy Storage, LLC",67237.0,Ebony Energy Storage,IPP Non-CHP,207.9,200.0,200.0,29.620088,-98.33448,11,2024
59380.0,"Enel Green Power NA, Inc.",67284.0,Ganado Solar,IPP Non-CHP,70.5,70.5,70.5,29.109147,-96.52876,11,2024
65076.0,"HEN Infrastructure, L.L.C.",67493.0,Pavlov,IPP Non-CHP,9.9,9.9,9.9,28.994112,-96.1262,11,2024
65076.0,"HEN Infrastructure, L.L.C.",67494.0,Mainland,IPP Non-CHP,9.9,9.9,9.9,29.39521,-95.04077,11,2024
65076.0,"HEN Infrastructure, L.L.C.",67496.0,Sandlake,IPP Non-CHP,9.9,9.9,9.9,31.508786,-103.6175,11,2024
66338.0,Al Pastor BESS LLC,67721.0,Al Pastor Battery Storage Plant,IPP Non-CHP,100.3,100.3,100.3,32.7171,-101.9378,11,2024
66361.0,Stampede Solar Project LLC,67762.0,Stampede Solar Hybrid,IPP Non-CHP,72.2,72.2,72.2,33.201315,-95.31923,11,2024
66433.0,Giga Texas Energy LLC,67860.0,GFTX BESS,IPP Non-CHP,125.0,125.0,125.0,30.228276,-97.61883,11,2024
